Company Name,Share Price
EGAD,11.40
KUKZ,405.00
KAPC,122.00
LIMT,420.00
SASN,23.00
WTK,165.00
CGEN,34.40
ABSA,12.40
BKG,32.00
COOP,12.45
DTK,49.90
EQTY,45.80
HFCK,3.24
IMH,17.15
KCB,38.20
NBK,4.12
NCBA,35.50
SBIC,110.75
SCBK,158.00
DCON,0.45
EVRD,0.69
XPRS,4.40
HBE,4.66
KQ,3.83
LKL,3.20
NBV,3.50
NMG,15.00
SMER,2.30
SGL,10.50
TPSE,14.20
UCHM,0.21
SCAN,3.00
ARM,5.55
BAMB,29.10
CRWN,35.20
CABL,0.95
PORT,6.38
KEGN,2.84
KPLC-P4,4.11
KPLC-P7,6.00
KPLC,1.52
TOTL,23.55
UMME,9.58
BRIT,5.10
CIC,2.00
JUB,185.75
KNRE,1.77
LBTY,4.60
SLAM,8.34
CTUM,8.74
HAFR,0.34
KURV,"1,500.00"
OCH,2.61
TCL,1.27
NSE,6.70
BOC,70.00
BAT,445.00
CARB,12.25
EABL,178.00
FTGH,1.05
ORCH,15.00
MSC,0.27
UNGA,28.00
SCOM,24.50
FAHR,6.14
GLD,"2,350.00"
